epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,370.284,1.17913,2.36485,1.60933,1.30265,0.72224,0.63386,0.64772,0.42201,0.74732,0.6543,0.67863,0.40641,1.26037,2.1932,1.58126,1.45207,0.000555037,0.000555037,0.000555037
2,735.959,1.14672,2.18332,1.10063,1.26393,0.79175,0.6286,0.69945,0.4716,0.78176,0.6246,0.69382,0.43881,1.19554,2.2934,1.15361,1.38215,0.00108871,0.00108871,0.00108871
3,1094.96,1.10269,2.07926,0.96423,1.22991,0.76098,0.66158,0.6717,0.43409,0.76988,0.6702,0.6805,0.41035,1.26116,2.08687,1.1873,1.42861,0.00160038,0.00160038,0.00160038
4,1453.01,1.04844,1.9936,0.88106,1.19923,0.78038,0.6828,0.70559,0.49365,0.87614,0.64821,0.71082,0.46833,1.21047,2.05122,1.08689,1.39783,0.00156798,0.00156798,0.00156798
5,1810.51,0.98381,1.87941,0.7966,1.16394,0.89343,0.64053,0.7009,0.50973,0.9044,0.64915,0.71589,0.48031,1.06541,1.97765,0.9291,1.33663,0.00153497,0.00153497,0.00153497
6,2172.16,0.94972,1.82013,0.74683,1.13842,0.73092,0.71628,0.7193,0.50416,0.73151,0.71147,0.70108,0.46823,1.04002,1.96744,1.06076,1.31773,0.00150197,0.00150197,0.00150197
7,2535.42,0.90281,1.74992,0.70167,1.11651,0.85309,0.65172,0.71624,0.49738,0.86376,0.66034,0.70359,0.46342,1.06256,2.08907,0.93222,1.35097,0.00146896,0.00146896,0.00146896
8,2898.09,0.88827,1.71308,0.67047,1.10416,0.81863,0.68601,0.70981,0.47531,0.79685,0.66908,0.68235,0.44104,1.12719,2.07108,1.01543,1.39951,0.00143595,0.00143595,0.00143595
9,3260.07,0.86088,1.66499,0.64167,1.08848,0.77513,0.68722,0.70862,0.51677,0.81963,0.67669,0.71708,0.48524,1.01305,1.99625,1.00058,1.27443,0.00140295,0.00140295,0.00140295
10,3621.16,0.83162,1.61305,0.61262,1.06782,0.83502,0.72489,0.74068,0.51359,0.81768,0.7079,0.71239,0.48365,1.05519,2.03611,0.98124,1.30337,0.00136994,0.00136994,0.00136994
